GRAPHEME	FROM_ROUNDEDNESS	FROM_HEIGHT	FROM_CENTRALITY	TO_ROUNDEDNESS	TO_HEIGHT	TO_CENTRALITY	ALIAS	EXTRA	NOTE
e3	unrounded	from_mid	from_front	unrounded	to_high	to_central 			
eE	unrounded	from_mid	from_front	unrounded	to_low	to_front 			
ea	unrounded	from_mid	from_front	unrounded	to_nearly-open	to_central 			
ei	unrounded	from_mid	from_front	unrounded	to_high	to_front 			
eo	unrounded	from_mid	from_front	unrounded	to_mid	to_back 			
eu	unrounded	from_mid	from_front	unrounded	to_high	to-back 			
i3	unrounded	from_high	from_front	unrounded	to_high	to_central 			
iE	unrounded	from_high	from_front	unrounded	to_low	to_front 			
ia	unrounded	from_high	from_front	unrounded	to_nearly-open	to_central 			
ie	unrounded	from_high	from_front	unrounded	to_mid	to_front 			
io	unrounded	from_high	from_front	unrounded	to_mid	to_back 			
iu	unrounded	from_high	from_front	unrounded	to_high	to-back 			
Ei	unrounded	from_low	from_front	unrounded	to_high	to_front 			
Ee	unrounded	from_low	from_front	unrounded	to_mid	to_front 			
E3	unrounded	from_low	from_front	unrounded	to_high	to_central 			
Ea	unrounded	from_low	from_front	unrounded	to_nearly-open	to_central 			
Eu	unrounded	from_low	from_front	unrounded	to_high	to-back 			
Eo	unrounded	from_low	from_front	unrounded	to_mid	to_back 			
3i	unrounded	from_high	from_central	unrounded	to_high	to_front 			
3e	unrounded	from_high	from_central	unrounded	to_mid	to_front 			
3E	unrounded	from_high	from_central	unrounded	to_low	to_front 			
3a	unrounded	from_high	from_central	unrounded	to_nearly-open	to_central 			
3u	unrounded	from_high	from_central	unrounded	to_high	to-back 			
3o	unrounded	from_high	from_central	unrounded	to_mid	to_back 			
ai	unrounded	from_nearly-open	from_central	unrounded	to_high	to_front 			
ae	unrounded	from_nearly-open	from_central	unrounded	to_mid	to_front 			
aE	unrounded	from_nearly-open	from_central	unrounded	to_low	to_front 			
a3	unrounded	from_nearly-open	from_central	unrounded	to_high	to_central 			
au	unrounded	from_nearly-open	from_central	unrounded	to_high	to-back 			
ao	unrounded	from_nearly-open	from_central	unrounded	to_mid	to_back 			
ui	unrounded	from_high	from-back	unrounded	to_high	to_front 			
ue	unrounded	from_high	from-back	unrounded	to_mid	to_front 			
uE	unrounded	from_high	from-back	unrounded	to_low	to_front 			
u3	unrounded	from_high	from-back	unrounded	to_high	to_central 			
ua	unrounded	from_high	from-back	unrounded	to_nearly-open	to_central 			
uo	unrounded	from_high	from-back	unrounded	to_mid	to_back 			
oi	unrounded	from_mid	from_back	unrounded	to_high	to_front 			
oe	unrounded	from_mid	from_back	unrounded	to_mid	to_front 			
oE	unrounded	from_mid	from_back	unrounded	to_low	to_front 			
o3	unrounded	from_mid	from_back	unrounded	to_high	to_central 			
oa	unrounded	from_mid	from_back	unrounded	to_nearly-open	to_central 			
ou	unrounded	from_mid	from_back	unrounded	to_high	to-back 			
ie*	unrounded	from_high	from_front	unrounded	to_mid	to_front 		to_nasalization:to_nasalized	
iE*	unrounded	from_high	from_front	unrounded	to_low	to_front 		to_nasalization:to_nasalized	
i3*	unrounded	from_high	from_front	unrounded	to_high	to_central 		to_nasalization:to_nasalized	
ia*	unrounded	from_high	from_front	unrounded	to_nearly-open	to_central 		to_nasalization:to_nasalized	
iu*	unrounded	from_high	from_front	unrounded	to_high	to-back 		to_nasalization:to_nasalized	
io*	unrounded	from_high	from_front	unrounded	to_mid	to_back 		to_nasalization:to_nasalized	
ei*	unrounded	from_mid	from_front	unrounded	to_high	to_front 		to_nasalization:to_nasalized	
eE*	unrounded	from_mid	from_front	unrounded	to_low	to_front 		to_nasalization:to_nasalized	
e3*	unrounded	from_mid	from_front	unrounded	to_high	to_central 		to_nasalization:to_nasalized	
ea*	unrounded	from_mid	from_front	unrounded	to_nearly-open	to_central 		to_nasalization:to_nasalized	
eu*	unrounded	from_mid	from_front	unrounded	to_high	to-back 		to_nasalization:to_nasalized	
eo*	unrounded	from_mid	from_front	unrounded	to_mid	to_back 		to_nasalization:to_nasalized	
Ei*	unrounded	from_low	from_front	unrounded	to_high	to_front 		to_nasalization:to_nasalized	
Ee*	unrounded	from_low	from_front	unrounded	to_mid	to_front 		to_nasalization:to_nasalized	
E3*	unrounded	from_low	from_front	unrounded	to_high	to_central 		to_nasalization:to_nasalized	
Ea*	unrounded	from_low	from_front	unrounded	to_nearly-open	to_central 		to_nasalization:to_nasalized	
Eu*	unrounded	from_low	from_front	unrounded	to_high	to-back 		to_nasalization:to_nasalized	
Eo*	unrounded	from_low	from_front	unrounded	to_mid	to_back 		to_nasalization:to_nasalized	
3i*	unrounded	from_high	from_central	unrounded	to_high	to_front 		to_nasalization:to_nasalized	
3e*	unrounded	from_high	from_central	unrounded	to_mid	to_front 		to_nasalization:to_nasalized	
3E*	unrounded	from_high	from_central	unrounded	to_low	to_front 		to_nasalization:to_nasalized	
3a*	unrounded	from_high	from_central	unrounded	to_nearly-open	to_central 		to_nasalization:to_nasalized	
3u*	unrounded	from_high	from_central	unrounded	to_high	to-back 		to_nasalization:to_nasalized	
3o*	unrounded	from_high	from_central	unrounded	to_mid	to_back 		to_nasalization:to_nasalized	
ai*	unrounded	from_nearly-open	from_central	unrounded	to_high	to_front 		to_nasalization:to_nasalized	
ae*	unrounded	from_nearly-open	from_central	unrounded	to_mid	to_front 		to_nasalization:to_nasalized	
aE*	unrounded	from_nearly-open	from_central	unrounded	to_low	to_front 		to_nasalization:to_nasalized	
a3*	unrounded	from_nearly-open	from_central	unrounded	to_high	to_central 		to_nasalization:to_nasalized	
au*	unrounded	from_nearly-open	from_central	unrounded	to_high	to-back 		to_nasalization:to_nasalized	
ao*	unrounded	from_nearly-open	from_central	unrounded	to_mid	to_back 		to_nasalization:to_nasalized	
ui*	unrounded	from_high	from-back	unrounded	to_high	to_front 		to_nasalization:to_nasalized	
ue*	unrounded	from_high	from-back	unrounded	to_mid	to_front 		to_nasalization:to_nasalized	
uE*	unrounded	from_high	from-back	unrounded	to_low	to_front 		to_nasalization:to_nasalized	
u3*	unrounded	from_high	from-back	unrounded	to_high	to_central 		to_nasalization:to_nasalized	
ua*	unrounded	from_high	from-back	unrounded	to_nearly-open	to_central 		to_nasalization:to_nasalized	
uo*	unrounded	from_high	from-back	unrounded	to_mid	to_back 		to_nasalization:to_nasalized	
oi*	unrounded	from_mid	from_back	unrounded	to_high	to_front 		to_nasalization:to_nasalized	
oe*	unrounded	from_mid	from_back	unrounded	to_mid	to_front 		to_nasalization:to_nasalized	
oE*	unrounded	from_mid	from_back	unrounded	to_low	to_front 		to_nasalization:to_nasalized	
o3*	unrounded	from_mid	from_back	unrounded	to_high	to_central 		to_nasalization:to_nasalized	
oa*	unrounded	from_mid	from_back	unrounded	to_nearly-open	to_central 		to_nasalization:to_nasalized	
ou*	unrounded	from_mid	from_back	unrounded	to_high	to-back 		to_nasalization:to_nasalized	
i*e	unrounded	from_high	from_front	unrounded	to_mid	to_front 		from_nasalization:from_nasalized	
i*E	unrounded	from_high	from_front	unrounded	to_low	to_front 		from_nasalization:from_nasalized	
i*3	unrounded	from_high	from_front	unrounded	to_high	to_central 		from_nasalization:from_nasalized	
i*a	unrounded	from_high	from_front	unrounded	to_nearly-open	to_central 		from_nasalization:from_nasalized	
i*u	unrounded	from_high	from_front	unrounded	to_high	to-back 		from_nasalization:from_nasalized	
i*o	unrounded	from_high	from_front	unrounded	to_mid	to_back 		from_nasalization:from_nasalized	
e*i	unrounded	from_mid	from_front	unrounded	to_high	to_front 		from_nasalization:from_nasalized	
e*E	unrounded	from_mid	from_front	unrounded	to_low	to_front 		from_nasalization:from_nasalized	
e*3	unrounded	from_mid	from_front	unrounded	to_high	to_central 		from_nasalization:from_nasalized	
e*a	unrounded	from_mid	from_front	unrounded	to_nearly-open	to_central 		from_nasalization:from_nasalized	
e*u	unrounded	from_mid	from_front	unrounded	to_high	to-back 		from_nasalization:from_nasalized	
e*o	unrounded	from_mid	from_front	unrounded	to_mid	to_back 		from_nasalization:from_nasalized	
E*i	unrounded	from_low	from_front	unrounded	to_high	to_front 		from_nasalization:from_nasalized	
E*e	unrounded	from_low	from_front	unrounded	to_mid	to_front 		from_nasalization:from_nasalized	
E*3	unrounded	from_low	from_front	unrounded	to_high	to_central 		from_nasalization:from_nasalized	
E*a	unrounded	from_low	from_front	unrounded	to_nearly-open	to_central 		from_nasalization:from_nasalized	
E*u	unrounded	from_low	from_front	unrounded	to_high	to-back 		from_nasalization:from_nasalized	
E*o	unrounded	from_low	from_front	unrounded	to_mid	to_back 		from_nasalization:from_nasalized	
3*i	unrounded	from_high	from_central	unrounded	to_high	to_front 		from_nasalization:from_nasalized	
3*e	unrounded	from_high	from_central	unrounded	to_mid	to_front 		from_nasalization:from_nasalized	
3*E	unrounded	from_high	from_central	unrounded	to_low	to_front 		from_nasalization:from_nasalized	
3*a	unrounded	from_high	from_central	unrounded	to_nearly-open	to_central 		from_nasalization:from_nasalized	
3*u	unrounded	from_high	from_central	unrounded	to_high	to-back 		from_nasalization:from_nasalized	
3*o	unrounded	from_high	from_central	unrounded	to_mid	to_back 		from_nasalization:from_nasalized	
a*i	unrounded	from_nearly-open	from_central	unrounded	to_high	to_front 		from_nasalization:from_nasalized	
a*e	unrounded	from_nearly-open	from_central	unrounded	to_mid	to_front 		from_nasalization:from_nasalized	
a*E	unrounded	from_nearly-open	from_central	unrounded	to_low	to_front 		from_nasalization:from_nasalized	
a*3	unrounded	from_nearly-open	from_central	unrounded	to_high	to_central 		from_nasalization:from_nasalized	
a*u	unrounded	from_nearly-open	from_central	unrounded	to_high	to-back 		from_nasalization:from_nasalized	
a*o	unrounded	from_nearly-open	from_central	unrounded	to_mid	to_back 		from_nasalization:from_nasalized	
u*i	unrounded	from_high	from-back	unrounded	to_high	to_front 		from_nasalization:from_nasalized	
u*e	unrounded	from_high	from-back	unrounded	to_mid	to_front 		from_nasalization:from_nasalized	
u*E	unrounded	from_high	from-back	unrounded	to_low	to_front 		from_nasalization:from_nasalized	
u*3	unrounded	from_high	from-back	unrounded	to_high	to_central 		from_nasalization:from_nasalized	
u*a	unrounded	from_high	from-back	unrounded	to_nearly-open	to_central 		from_nasalization:from_nasalized	
u*o	unrounded	from_high	from-back	unrounded	to_mid	to_back 		from_nasalization:from_nasalized	
o*i	unrounded	from_mid	from_back	unrounded	to_high	to_front 		from_nasalization:from_nasalized	
o*e	unrounded	from_mid	from_back	unrounded	to_mid	to_front 		from_nasalization:from_nasalized	
o*E	unrounded	from_mid	from_back	unrounded	to_low	to_front 		from_nasalization:from_nasalized	
o*3	unrounded	from_mid	from_back	unrounded	to_high	to_central 		from_nasalization:from_nasalized	
o*a	unrounded	from_mid	from_back	unrounded	to_nearly-open	to_central 		from_nasalization:from_nasalized	
o*u	unrounded	from_mid	from_back	unrounded	to_high	to-back 		from_nasalization:from_nasalized	
