CLTS_NAME	BIPA_GRAPHEME	WIKIPEDIA_URL
voiceless glottal affricate consonant	ʔh	https://en.wikipedia.org/wiki/voiceless_glottal_affricate
voiced alveolar approximant consonant	ɹ	https://en.wikipedia.org/wiki/voiced_alveolar_approximant
labialized voiceless uvular fricative consonant	χʷ	https://en.wikipedia.org/wiki/labialized_voiceless_uvular_fricative
unvoiced alveolar stop-segment click	ǃ	https://en.wikipedia.org/wiki/%C7%83
voiced dental implosive consonant	ɗ	https://en.wikipedia.org/wiki/voiced_dental_implosive
voiced alveolar fricative consonant	z	https://en.wikipedia.org/wiki/voiced_alveolar_fricative
voiceless labiovelar fricative consonant	ʍ	https://en.wikipedia.org/wiki/voiceless_labiovelar_fricative
voiced postalveolar fricative consonant	ʒ	https://en.wikipedia.org/wiki/voiced_postalveolar_fricative
voiced velar affricate consonant	gɣ	https://en.wikipedia.org/wiki/voiced_velar_affricate
unvoiced palatal stop-segment click	ǂ	https://en.wikipedia.org/wiki/%C7%82
unvoiced labial stop-segment click	ʘ	https://en.wikipedia.org/wiki/%CA%98
voiced bilabial approximant consonant	β̞	https://en.wikipedia.org/wiki/voiced_bilabial_approximant
labialized voiceless uvular plosive consonant	qʷ	https://en.wikipedia.org/wiki/labialized_voiceless_uvular_plosive
voiced retroflex fricative consonant	ʐ	https://en.wikipedia.org/wiki/voiced_retroflex_fricative
voiceless postalveolar fricative consonant	ʃ	https://en.wikipedia.org/wiki/voiceless_postalveolar_fricative
voiced retroflex flap consonant	ɽ	https://en.wikipedia.org/wiki/voiced_retroflex_flap
voiced dental affricate consonant	dð	https://en.wikipedia.org/wiki/voiced_dental_affricate
unreleased voiceless bilabial plosive consonant	p̚	https://en.wikipedia.org/wiki/unreleased_voiceless_bilabial_plosive
voiceless palatal fricative consonant	ç	https://en.wikipedia.org/wiki/voiceless_palatal_fricative
voiced velar fricative consonant	ɣ	https://en.wikipedia.org/wiki/voiced_velar_fricative
voiceless bilabial affricate consonant	pɸ	https://en.wikipedia.org/wiki/voiceless_bilabial_affricate
voiced uvular fricative consonant	ʁ	https://en.wikipedia.org/wiki/voiced_uvular_fricative
voiceless glottal fricative consonant	h	https://en.wikipedia.org/wiki/voiceless_glottal_fricative
voiceless bilabial fricative consonant	ɸ	https://en.wikipedia.org/wiki/voiceless_bilabial_fricative
voiceless alveolo-palatal fricative consonant	ɕ	https://en.wikipedia.org/wiki/voiceless_alveolo-palatal_fricative
voiced bilabial plosive consonant	b	https://en.wikipedia.org/wiki/voiced_bilabial_plosive
voiced alveolo-palatal fricative consonant	ʑ	https://en.wikipedia.org/wiki/voiced_alveolo-palatal_fricative
voiced uvular implosive consonant	ʛ	https://en.wikipedia.org/wiki/voiced_uvular_implosive
voiced postalveolar affricate consonant	dʒ	https://en.wikipedia.org/wiki/voiced_postalveolar_affricate
voiceless uvular implosive consonant	ʛ̥	https://en.wikipedia.org/wiki/voiceless_uvular_implosive
voiced dental approximant consonant	ð̞	https://en.wikipedia.org/wiki/dental_approximant
voiceless labiodental fricative consonant	f	https://en.wikipedia.org/wiki/voiceless_labiodental_fricative
voiced alveolo-palatal nasal consonant	ȵ	https://en.wikipedia.org/wiki/alveolo-palatal_nasal
voiced palatal affricate consonant	ɟʝ	https://en.wikipedia.org/wiki/voiced_palatal_affricate
voiced pharyngeal fricative consonant	ʕ	https://en.wikipedia.org/wiki/voiced_pharyngeal_fricative
voiced bilabial affricate consonant	bβ	https://en.wikipedia.org/wiki/voiced_bilabial_affricate
voiced retroflex nasal consonant	ɳ	https://en.wikipedia.org/wiki/voiced_retroflex_nasal
voiced uvular nasal consonant	ɴ	https://en.wikipedia.org/wiki/voiced_uvular_nasal
voiceless palatal plosive consonant	c	https://en.wikipedia.org/wiki/voiceless_palatal_plosive
labialized voiced velar fricative consonant	ɣʷ	https://en.wikipedia.org/wiki/labialized_voiced_velar_fricative
voiceless glottal plosive consonant	ʔ	https://en.wikipedia.org/wiki/voiceless_glottal_plosive
voiced uvular trill consonant	ʀ	https://en.wikipedia.org/wiki/voiced_uvular_trill
voiced bilabial implosive consonant	ɓ	https://en.wikipedia.org/wiki/voiced_bilabial_implosive
voiced labiodental affricate consonant	bv	https://en.wikipedia.org/wiki/voiced_labiodental_affricate
voiced alveolar affricate consonant	dz	https://en.wikipedia.org/wiki/voiced_alveolar_affricate
pharyngealized voiceless alveolar plosive consonant	tˤ	https://en.wikipedia.org/wiki/pharyngealized_voiceless_alveolar_plosive
voiceless uvular affricate consonant	qχ	https://en.wikipedia.org/wiki/voiceless_uvular_affricate
voiceless alveolar fricative consonant	s	https://en.wikipedia.org/wiki/voiceless_alveolar_fricative
labialized voiceless velar plosive consonant	kʷ	https://en.wikipedia.org/wiki/labialized_voiceless_velar_plosive
voiceless retroflex affricate consonant	ʈʂ	https://en.wikipedia.org/wiki/voiceless_retroflex_affricate
voiced alveolar plosive consonant	d	https://en.wikipedia.org/wiki/voiced_alveolar_plosive
voiceless palatal-velar fricative consonant	ɧ	https://en.wikipedia.org/wiki/voiceless_palatal-velar_fricative
nasalized voiced palatal approximant consonant	j̃	https://en.wikipedia.org/wiki/nasalized_palatal_approximant
voiced dental trill consonant	r̪	https://en.wikipedia.org/wiki/voiced_dental_trill
voiceless dental fricative consonant	θ	https://en.wikipedia.org/wiki/voiceless_dental_fricative
voiceless uvular plosive consonant	q	https://en.wikipedia.org/wiki/voiceless_uvular_plosive
voiceless epiglottal fricative consonant	ʜ	https://en.wikipedia.org/wiki/voiceless_epiglottal_fricative
voiced bilabial fricative consonant	β	https://en.wikipedia.org/wiki/voiced_bilabial_fricative
voiced uvular plosive consonant	ɢ	https://en.wikipedia.org/wiki/voiced_uvular_plosive
voiced velar plosive consonant	g	https://en.wikipedia.org/wiki/voiced_velar_plosive
voiceless velar affricate consonant	kx	https://en.wikipedia.org/wiki/voiceless_velar_affricate
labialized voiceless velar fricative consonant	xʷ	https://en.wikipedia.org/wiki/labialized_voiceless_velar_fricative
voiceless velar fricative consonant	x	https://en.wikipedia.org/wiki/voiceless_velar_fricative
voiced uvular affricate consonant	ɢʁ	https://en.wikipedia.org/wiki/voiced_uvular_affricate
voiced labiodental fricative consonant	v	https://en.wikipedia.org/wiki/voiced_labiodental_fricative
voiced palatal plosive consonant	ɟ	https://en.wikipedia.org/wiki/voiced_palatal_plosive
voiced alveolo-palatal affricate consonant	dʑ	https://en.wikipedia.org/wiki/voiced_alveolo-palatal_affricate
voiced palatal approximant consonant	j	https://en.wikipedia.org/wiki/voiced_palatal_approximant
voiced postalveolar approximant consonant	ɹ̠	https://en.wikipedia.org/wiki/postalveolar_approximant
voiceless alveolo-palatal affricate consonant	tɕ	https://en.wikipedia.org/wiki/voiceless_alveolo-palatal_affricate
voiceless velar plosive consonant	k	https://en.wikipedia.org/wiki/voiceless_velar_plosive
voiced velar implosive consonant	ɠ	https://en.wikipedia.org/wiki/voiced_velar_implosive
voiced bilabial trill consonant	ʙ	https://en.wikipedia.org/wiki/bilabial_trill
voiced retroflex plosive consonant	ɖ	https://en.wikipedia.org/wiki/voiced_retroflex_plosive
pharyngealized voiced alveolar plosive consonant	dˤ	https://en.wikipedia.org/wiki/pharyngealized_voiced_alveolar_plosive
voiced glottal fricative consonant	ɦ	https://en.wikipedia.org/wiki/voiced_glottal_fricative
labialized voiced velar plosive consonant	gʷ	https://en.wikipedia.org/wiki/labialized_voiced_velar_plosive
voiced palatal fricative consonant	ʝ	https://en.wikipedia.org/wiki/voiced_palatal_fricative
voiceless postalveolar affricate consonant	tʃ	https://en.wikipedia.org/wiki/voiceless_postalveolar_affricate
unvoiced lateral stop-segment click	ǁ	https://en.wikipedia.org/wiki/%C7%81
voiced uvular approximant consonant	ʁ̞	https://en.wikipedia.org/wiki/voiced_uvular_approximant
voiced retroflex approximant consonant	ɻ	https://en.wikipedia.org/wiki/voiced_retroflex_approximant
labialized voiceless alveolar plosive consonant	tʷ	https://en.wikipedia.org/wiki/labialized_voiceless_alveolar_plosive
voiceless alveolar affricate consonant	ts	https://en.wikipedia.org/wiki/voiceless_alveolar_affricate
voiced epiglottal fricative consonant	ʢ	https://en.wikipedia.org/wiki/voiced_epiglottal_fricative
voiced alveolar nasal consonant	n	https://en.wikipedia.org/wiki/voiced_alveolar_nasal
voiceless retroflex fricative consonant	ʂ	https://en.wikipedia.org/wiki/voiceless_retroflex_fricative
voiced velar approximant consonant	ɰ	https://en.wikipedia.org/wiki/voiced_velar_approximant
voiced dental nasal consonant	n̪	https://en.wikipedia.org/wiki/voiced_dental_nasal
voiced palatal implosive consonant	ʄ	https://en.wikipedia.org/wiki/voiced_palatal_implosive
voiced retroflex affricate consonant	ɖʐ	https://en.wikipedia.org/wiki/voiced_retroflex_affricate
voiced palatal nasal consonant	ɲ	https://en.wikipedia.org/wiki/voiced_palatal_nasal
voiceless alveolar plosive consonant	t	https://en.wikipedia.org/wiki/voiceless_alveolar_plosive
voiceless uvular fricative consonant	χ	https://en.wikipedia.org/wiki/voiceless_uvular_fricative
voiceless pharyngeal fricative consonant	ħ	https://en.wikipedia.org/wiki/voiceless_pharyngeal_fricative
voiced bilabial nasal consonant	m	https://en.wikipedia.org/wiki/voiced_bilabial_nasal
voiced dental plosive consonant	d̪	https://en.wikipedia.org/wiki/voiced_dental_plosive
voiced velar nasal consonant	ŋ	https://en.wikipedia.org/wiki/voiced_velar_nasal
voiceless labiodental affricate consonant	pf	https://en.wikipedia.org/wiki/voiceless_labiodental_affricate
voiceless dental plosive consonant	t̪	https://en.wikipedia.org/wiki/voiceless_dental_plosive
unvoiced dental stop-segment click	ǀ	https://en.wikipedia.org/wiki/%C7%80
voiced alveolar trill consonant	r	https://en.wikipedia.org/wiki/voiced_alveolar_trill
voiceless retroflex plosive consonant	ʈ	https://en.wikipedia.org/wiki/voiceless_retroflex_plosive
voiced dental fricative consonant	ð	https://en.wikipedia.org/wiki/voiced_dental_fricative
voiced labiodental approximant consonant	ʋ	https://en.wikipedia.org/wiki/voiced_labiodental_approximant
voiced labiodental nasal consonant	ɱ	https://en.wikipedia.org/wiki/voiced_labiodental_nasal
voiceless bilabial plosive consonant	p	https://en.wikipedia.org/wiki/voiceless_bilabial_plosive
voiceless palatal affricate consonant	cç	https://en.wikipedia.org/wiki/voiceless_palatal_affricate
voiceless dental affricate consonant	tθ	https://en.wikipedia.org/wiki/voiceless_dental_affricate
