ID	non_ipa	ipa	chart	height/manner	place/color	misc1	misc2
957	r)	r̃	consonant	trill	alveolar	voiced	nasalized
958	r&	ř	consonant	trill	alveolar	voiced	strident
959	r5	r̪	consonant	trill	dental	voiced	plain
960	r5j	r̪ʲ	consonant	trill	dental	voiced	palatalized
961	v&	v̌	consonant	trill	labiodental	voiced	plain
962	{	ʀ	consonant	trill	uvular	voiced	plain
963	{'	ʀʼ	consonant	trill	uvular	voiced	glottalized
964	{’	ʀʼ	consonant	trill	uvular	voiced	glottalized
965	rƒÄw	r͡ɣw	consonant	trill_to_affricate	alveolar_to_velar	voiced	labialized
966	je	je	vowel	glide_to_higher_mid	palatal_to_front_unrounded	plain	plain
967	je:	jeː	vowel	glide_to_higher_mid	palatal_to_front_unrounded	plain	long
968	je)	jẽ	vowel	glide_to_higher_mid	palatal_to_front_unrounded	nasalized	plain
969	¬+:	ʉ̟ː	vowel	high	advanced_central_rounded	plain	long
970	i+	i̟	vowel	high	advanced_front_unrounded	plain	plain
971	u	u	vowel	high	back_rounded	plain	plain
972	u:	uː	vowel	high	back_rounded	plain	long
973	uu	uː	vowel	high	back_rounded	plain	long
974	u/	uʔ	vowel	high	back_rounded	glottalized	plain
975	u/u	uʔu	vowel	high	back_rounded	interrupted	plain
976	u³	uˤ	vowel	high	back_rounded	pharyngealized	plain
977	u³/	uˤʔ	vowel	high	back_rounded	pharyngealized_glottalized	plain
978	u::	uːː	vowel	high	back_rounded	plain	extra_long
979	u-	ṳ	vowel	high	back_rounded	plain	breathy
980	uÐ	ṳ	vowel	high	back_rounded	plain	breathy
981	u-u-	ṳː	vowel	high	back_rounded	plain	breathy_long
982	uÐ/	ṳʔ	vowel	high	back_rounded	glottalized	breathy
983	uÐ³	ṳˤ	vowel	high	back_rounded	pharyngealized	breathy
984	uÐ)³	ṳ̃ˤ	vowel	high	back_rounded	pharyngealized_nasalized	breathy
985	u8	u̥	vowel	high	back_rounded	plain	voiceless
986	u¼	ṵ	vowel	high	back_rounded	plain	creaky
987	u¼:	ṵː	vowel	high	back_rounded	plain	creaky_long
988	u)	ũ	vowel	high	back_rounded	nasalized	plain
989	u):	ũː	vowel	high	back_rounded	nasalized	long
990	u)/	ũʔ	vowel	high	back_rounded	glottalized_nasalized	plain
991	u)/u)	ũʔũ	vowel	high	back_rounded	interrupted_nasalized	plain
992	u)³	ũˤ	vowel	high	back_rounded	pharyngealized_nasalized	plain
993	u2	u̞	vowel	high	back_rounded	RTR	plain
994	ui	ui	vowel	high	back_rounded_to_front_unrounded	plain	plain
995	µ	ɯ	vowel	high	back_unrounded	plain	plain
996	µ:	ɯː	vowel	high	back_unrounded	plain	long
997	µµ	ɯː	vowel	high	back_unrounded	plain	long
998	µ)	ɯ̃	vowel	high	back_unrounded	nasalized	plain
999	¬	ʉ	vowel	high	central_rounded	plain	plain
1000	¬)N	ʉ̃ⁿ	vowel	high	central_rounded	postnasalized	plain
1001	ö	ɨ	vowel	high	central_unrounded	plain	plain
1002	ö:	ɨː	vowel	high	central_unrounded	plain	long
1003	öö	ɨː	vowel	high	central_unrounded	plain	long
1004	ö/ö	ɨʔɨ	vowel	high	central_unrounded	interrupted	plain
1005	ö::	ɨːː	vowel	high	central_unrounded	plain	extra_long
1006	öÕ	ɨ˞	vowel	high	central_unrounded	retroflex	plain
1007	®)	ɨ̃	vowel	high	central_unrounded	nasalized	plain
1008	ö)	ɨ̃	vowel	high	central_unrounded	nasalized	plain
1009	ö):	ɨ̃ː	vowel	high	central_unrounded	nasalized	long
1010	®)/®)	ɨ̃ʔɨ̃	vowel	high	central_unrounded	interrupted_nasalized	plain
1011	ö)/ö)	ɨ̃ʔɨ̃	vowel	high	central_unrounded	interrupted_nasalized	plain
1012	y	y	vowel	high	front_rounded	plain	plain
1013	y:	yː	vowel	high	front_rounded	plain	long
1014	y)	ỹ	vowel	high	front_rounded	nasalized	plain
1015	yi	yi	vowel	high	front_rounded_to_unrounded	plain	plain
1016	i	i	vowel	high	front_unrounded	plain	plain
1017	i:	iː	vowel	high	front_unrounded	plain	long
1018	ii	iː	vowel	high	front_unrounded	plain	long
1019	i/	iʔ	vowel	high	front_unrounded	glottalized	plain
1020	i/i	iʔi	vowel	high	front_unrounded	interrupted	plain
1021	i³	iˤ	vowel	high	front_unrounded	pharyngealized	plain
1022	i::	iːː	vowel	high	front_unrounded	plain	extra_long
1023	i-	i̤	vowel	high	front_unrounded	plain	breathy
1024	iÐ	i̤	vowel	high	front_unrounded	plain	breathy
1025	i-i-	i̤ː	vowel	high	front_unrounded	plain	breathy_long
1026	i8	i̥	vowel	high	front_unrounded	plain	voiceless
1027	i¥	i̥	vowel	high	front_unrounded	plain	voiceless
1028	i¼	ḭ	vowel	high	front_unrounded	plain	creaky
1029	i¼:	ḭː	vowel	high	front_unrounded	plain	creaky_long
1030	i)	ĩ	vowel	high	front_unrounded	nasalized	plain
1031	i):	ĩː	vowel	high	front_unrounded	nasalized	long
1032	i)/	ĩʔ	vowel	high	front_unrounded	glottalized_nasalized	plain
1033	i)/i)	ĩʔĩ	vowel	high	front_unrounded	interrupted_nasalized	plain
1034	i°	i̺	vowel	high	front_unrounded	apical	plain
1035	i2	i̞	vowel	high	front_unrounded	RTR	plain
1036	u9o	u̯o	vowel	high_glide_to_higher_mid	back_rounded	plain	plain
1037	i9e	i̯e	vowel	high_glide_to_higher_mid	front_unrounded	plain	plain
1038	i9o	i̯o	vowel	high_glide_to_higher_mid	front_unrounded_to_back_rounded	plain	plain
1039	uw	uw	vowel	high_to_glide	back_rounded_to_labiovelar	plain	plain
1040	uj	uj	vowel	high_to_glide	back_unrounded_to_palatal	plain	plain
1041	ij	ij	vowel	high_to_glide	front_unrounded_to_palatal	plain	plain
1042	u-o-	ṳo̤	vowel	high_to_higher_mid	back_rounded	plain	breathy
1043	uo	uo	vowel	high_to_higher_mid	back_rounded	plain	plain
1044	ie	ie	vowel	high_to_higher_mid	front_unrounded	plain	plain
1045	i-e-	i̤e̤	vowel	high_to_higher_mid	front_unrounded	plain	breathy
1046	ua	ua	vowel	high_to_low	back_rounded_to_central_unrounded	plain	plain
1047	ia	ia	vowel	high_to_low	front_unrounded_to_central	plain	plain
1048	u	uɔ	vowel	high_to_lower_mid	back_rounded	plain	plain
1049	iE	iɛ	vowel	high_to_lower_mid	front_unrounded	plain	plain
1050	u«	uə	vowel	high_to_mid	back_rounded_to_central_unrounded	plain	plain
1051	µ«	ɯə	vowel	high_to_mid	back_unrounded_to_central	plain	plain
1052	i«	iə	vowel	high_to_mid	front_unrounded_to_central	plain	plain
1053	Œ	ɐ	vowel	higher_low	central_unrounded	plain	plain
1054	Œ:	ɐː	vowel	higher_low	central_unrounded	plain	long
1055	Q	æ	vowel	higher_low	front_unrounded	plain	plain
1056	Q:	æː	vowel	higher_low	front_unrounded	plain	long
1057	QQ	æː	vowel	higher_low	front_unrounded	plain	long
1058	Q)	æ̃	vowel	higher_low	front_unrounded	nasalized	plain
1059	o	o	vowel	higher_mid	back_rounded	plain	plain
1060	o:	oː	vowel	higher_mid	back_rounded	plain	long
1061	oo	oː	vowel	higher_mid	back_rounded	plain	long
1062	o/	oʔ	vowel	higher_mid	back_rounded	glottalized	plain
1063	o/o	oʔo	vowel	higher_mid	back_rounded	interrupted	plain
1064	o³	oˤ	vowel	higher_mid	back_rounded	pharyngealized	plain
1065	o::	oːː	vowel	higher_mid	back_rounded	plain	extra_long
1066	o-	o̤	vowel	higher_mid	back_rounded	plain	breathy
1067	oÐ	o̤	vowel	higher_mid	back_rounded	plain	breathy
1068	o-o-	o̤ː	vowel	higher_mid	back_rounded	plain	breathy_long
1069	oÐ/	o̤ʔ	vowel	higher_mid	back_rounded	glottalized	breathy
1070	oÐ³	o̤ˤ	vowel	higher_mid	back_rounded	pharyngealized	breathy
1071	oÐ)	õ̤	vowel	higher_mid	back_rounded	nasalized	breathy
1072	o)Ð/	õ̤ʔ	vowel	higher_mid	back_rounded	glottalized_nasalized	breathy
1073	oÐ)³	õ̤ˤ	vowel	higher_mid	back_rounded	pharyngealized_nasalized	breathy
1074	o8	o̥	vowel	higher_mid	back_rounded	plain	voiceless
1075	o(	ŏ	vowel	higher_mid	back_rounded	plain	extra_short
1076	õ	õ	vowel	higher_mid	back_rounded	nasalized	plain
1077	o)	õ	vowel	higher_mid	back_rounded	nasalized	plain
1078	o)N	õⁿ	vowel	higher_mid	back_rounded	postnasalized	plain
1079	o):	õː	vowel	higher_mid	back_rounded	nasalized	long
1080	o)/	õʔ	vowel	higher_mid	back_rounded	interrupted_nasalized	plain
1081	o)³	õˤ	vowel	higher_mid	back_rounded	pharyngealized_nasalized	plain
1082	o2	o̞	vowel	higher_mid	back_rounded	RTR	plain
1083	o*	omf	vowel	higher_mid	back_rounded	muffled	plain
1084	F	ɤ	vowel	higher_mid	back_unrounded	plain	plain
1085	F:	ɤː	vowel	higher_mid	back_unrounded	plain	long
1086	FF	ɤː	vowel	higher_mid	back_unrounded	plain	long
1087	P	ɵ	vowel	higher_mid	central_rounded	plain	plain
1088	O	ø	vowel	higher_mid	front_rounded	plain	plain
1089	O:	øː	vowel	higher_mid	front_rounded	plain	long
1090	O(	ø̆	vowel	higher_mid	front_rounded	plain	extra_short
1091	e	e	vowel	higher_mid	front_unrounded	plain	plain
1092	Q~e	e	vowel	higher_mid	front_unrounded	plain	plain
1093	e:	eː	vowel	higher_mid	front_unrounded	plain	long
1094	ee	eː	vowel	higher_mid	front_unrounded	plain	long
1095	e/	eʔ	vowel	higher_mid	front_unrounded	glottalized	plain
1096	e/e	eʔe	vowel	higher_mid	front_unrounded	interrupted	plain
1097	e³	eˤ	vowel	higher_mid	front_unrounded	pharyngealized	plain
1098	e::	eːː	vowel	higher_mid	front_unrounded	plain	extra_long
1099	e-	e̤	vowel	higher_mid	front_unrounded	plain	breathy
1100	eÐ	e̤	vowel	higher_mid	front_unrounded	plain	breathy
1101	e-e-	e̤ː	vowel	higher_mid	front_unrounded	plain	breathy_long
1102	e)Ð	ẽ̤	vowel	higher_mid	front_unrounded	nasalized	breathy
1103	e8	e̥	vowel	higher_mid	front_unrounded	plain	voiceless
1104	e)	ẽ	vowel	higher_mid	front_unrounded	nasalized	plain
1105	e)N	ẽⁿ	vowel	higher_mid	front_unrounded	postnasalized	plain
1106	e):	ẽː	vowel	higher_mid	front_unrounded	nasalized	long
1107	e)/e)	ẽʔẽ	vowel	higher_mid	front_unrounded	interrupted_nasalized	plain
1108	e2	e̞	vowel	higher_mid	front_unrounded	RTR	plain
1109	e*	emf	vowel	higher_mid	front_unrounded	muffled	plain
1110	o9u	o̯u	vowel	higher_mid_glide_to_high	back_rounded	plain	plain
1111	e9o	e̯o	vowel	higher_mid_glide_to_higher_mid	front_unrounded_to_back_rounded	plain	plain
1112	o9a	o̯a	vowel	higher_mid_glide_to_low	back_rounded_to_central_unrounded	plain	plain
1113	e9a	e̯a	vowel	higher_mid_glide_to_low	front_unrounded_to_central	plain	plain
1114	oj	oj	vowel	higher_mid_to_glide	back_rounded_to_palatal	plain	plain
1115	ej	ej	vowel	higher_mid_to_glide	front_unrounded_to_palatal	plain	plain
1116	ou	ou	vowel	higher_mid_to_high	back_rounded	plain	plain
1117	oi	oi	vowel	higher_mid_to_high	back_rounded_to_front	plain	plain
1118	ei	ei	vowel	higher_mid_to_high	front_unrounded	plain	plain
1119	eu	eu	vowel	higher_mid_to_high	front_unrounded_to_back_rounded	plain	plain
1120	oU	oʊ	vowel	higher_mid_to_lower_high	back_rounded	plain	plain
1121	eI	eɪ	vowel	higher_mid_to_lower_high	front_unrounded	plain	plain
1122	o«	oə	vowel	higher_mid_to_mid	back_rounded_to_central_unrounded	plain	plain
1123	O«	øə	vowel	higher_mid_to_mid	front_rounded_to_central_unrounded	plain	plain
1124	e«	eə	vowel	higher_mid_to_mid	front_unrounded_to_central	plain	plain
1125	a+	a+	vowel	low	advanced_central_unrounded	plain	plain
1126		ɒ	vowel	low	back_rounded	plain	plain
1127		ɒː	vowel	low	back_rounded	plain	long
1128	A	ɑ	vowel	low	back_unrounded	plain	plain
1129	A:	ɑː	vowel	low	back_unrounded	plain	long
1130	AA	ɑː	vowel	low	back_unrounded	plain	long
1131	A)	ɑ̃	vowel	low	back_unrounded	nasalized	plain
1132	a	a	vowel	low	central_unrounded	plain	plain
1133	a:	aː	vowel	low	central_unrounded	plain	long
1134	aa	aː	vowel	low	central_unrounded	plain	long
1135	a/	aʔ	vowel	low	central_unrounded	glottalized	plain
1136	a/a	aʔa	vowel	low	central_unrounded	interrupted	plain
1137	a³	aˤ	vowel	low	central_unrounded	pharyngealized	plain
1138	a³/	aˤʔ	vowel	low	central_unrounded	pharyngealized_glottalized	plain
1139	a::	aːː	vowel	low	central_unrounded	plain	extra_long
1140	a1	a̠	vowel	low	central_unrounded	ATR	plain
1141	aÐ	a̤	vowel	low	central_unrounded	plain	breathy
1142	aÐ/	a̤ʔ	vowel	low	central_unrounded	glottalized	breathy
1143	aÐ³	a̤ˤ	vowel	low	central_unrounded	pharyngealized	breathy
1144	aÐ)	ã̤	vowel	low	central_unrounded	nasalized	breathy
1145	a)Ð/	ã̤ʔ	vowel	low	central_unrounded	glottalized_nasalized	breathy
1146	aÐ)³	ã̤ˤ	vowel	low	central_unrounded	pharyngealized_nasalized	breathy
1147	a8	ḁ	vowel	low	central_unrounded	plain	voiceless
1148	a¼	a̰	vowel	low	central_unrounded	plain	creaky
1149	a¼:	a̰ː	vowel	low	central_unrounded	plain	creaky_long
1150	a(	ă	vowel	low	central_unrounded	plain	extra_short
1151	a)	ã	vowel	low	central_unrounded	nasalized	plain
1152	ã	ã	vowel	low	central_unrounded	nasalized	plain
1153	a)N	ãⁿ	vowel	low	central_unrounded	postnasalized	plain
1154	a):	ãː	vowel	low	central_unrounded	nasalized	long
1155	a)/	ãʔ	vowel	low	central_unrounded	glottalized_nasalized	plain
1156	ã/	ãʔ	vowel	low	central_unrounded	glottalized_nasalized	plain
1157	a)/a)	ãʔã	vowel	low	central_unrounded	interrupted_nasalized	plain
1158	a)³	ãˤ	vowel	low	central_unrounded	pharyngealized_nasalized	plain
1159	aj	aj	vowel	low_to_glide	central_unrounded_to_palatal	plain	plain
1160	au	au	vowel	low_to_high	central_unrounded_to_back_rounded	plain	plain
1161	ai	ai	vowel	low_to_high	central_unrounded_to_front	plain	plain
1162	a¬	aʉ	vowel	low_to_high	central_unrounded_to_rounded	plain	plain
1163	ai9	ai̯	vowel	low_to_high_glide	central_unrounded_to_front	plain	plain
1164	ao	ao	vowel	low_to_higher_mid	central_unrounded_to_back_rounded	plain	plain
1165	aU	aʊ	vowel	low_to_lower_high	central_unrounded_to_back_rounded	plain	plain
1166	aI	aɪ	vowel	low_to_lower_high	central_unrounded_to_front	plain	plain
1167	U	ʊ	vowel	lower_high	back_rounded	plain	plain
1168	U:	ʊː	vowel	lower_high	back_rounded	plain	long
1169	UU	ʊː	vowel	lower_high	back_rounded	plain	long
1170	U1	ʊ̘	vowel	lower_high	back_rounded	ATR	plain
1171	U8	ʊ̥	vowel	lower_high	back_rounded	plain	voiceless
1172	U)	ʊ̃	vowel	lower_high	back_rounded	nasalized	plain
1173	U):	ʊ̃ː	vowel	lower_high	back_rounded	nasalized	long
1174	uÐ)	ṳ̃	vowel	lower_high	back_rounded	nasalized	breathy
1175	®	ɨ̞	vowel	lower_high	central_unrounded	plain	plain
1176	Y	ʏ	vowel	lower_high	front_rounded	plain	plain
1177	I	ɪ	vowel	lower_high	front_unrounded	plain	plain
1178	I:	ɪː	vowel	lower_high	front_unrounded	plain	long
1179	II	ɪː	vowel	lower_high	front_unrounded	plain	long
1180	I1	ɪ̘	vowel	lower_high	front_unrounded	ATR	plain
1181	I8	ɪ̥	vowel	lower_high	front_unrounded	plain	voiceless
1182	I¥	ɪ̥	vowel	lower_high	front_unrounded	plain	voiceless
1183	I)	ɪ̃	vowel	lower_high	front_unrounded	nasalized	plain
1184	I):	ɪ̃ː	vowel	lower_high	front_unrounded	nasalized	long
1185	UY9	ʊʏ̯	vowel	lower_high_to_high_glide	back_rounded_to_front_unrounded	plain	plain
1186	U	ʊɔ	vowel	lower_high_to_lower_mid	back_rounded	plain	plain
1187	IE	ɪɛ	vowel	lower_high_to_lower_mid	front_unrounded	plain	plain
1188		ɔ	vowel	lower_mid	back_rounded	plain	plain
1189	:	ɔː	vowel	lower_mid	back_rounded	plain	long
1190		ɔː	vowel	lower_mid	back_rounded	plain	long
1191	/	ɔʔ	vowel	lower_mid	back_rounded	glottalized	plain
1192	1	ɔ̘	vowel	lower_mid	back_rounded	ATR	plain
1193	8	ɔ̥	vowel	lower_mid	back_rounded	plain	voiceless
1194	)	ɔ̃	vowel	lower_mid	back_rounded	nasalized	plain
1195	):	ɔ̃ː	vowel	lower_mid	back_rounded	nasalized	long
1196	)/	ɔ̃ʔ	vowel	lower_mid	back_rounded	glottalized_nasalized	plain
1197	Ã	ʌ	vowel	lower_mid	back_unrounded	plain	plain
1198	Ã:	ʌː	vowel	lower_mid	back_unrounded	plain	long
1199	Ã-	ʌ̤	vowel	lower_mid	back_unrounded	plain	breathy
1200	Ã-Ã-	ʌ̤ː	vowel	lower_mid	back_unrounded	plain	breathy_long
1201	Ã(	ʌ̆	vowel	lower_mid	back_unrounded	plain	extra_short
1202	Ã)	ʌ̃	vowel	lower_mid	back_unrounded	nasalized	plain
1203	Ã):	ʌ̃ː	vowel	lower_mid	back_unrounded	nasalized	long
1204	Î	ɜ	vowel	lower_mid	central_unrounded	plain	plain
1205	Î:	ɜː	vowel	lower_mid	central_unrounded	plain	long
1206	¿	œ	vowel	lower_mid	front_rounded	plain	plain
1207	¿:	œː	vowel	lower_mid	front_rounded	plain	long
1208	¿)	œ̃	vowel	lower_mid	front_rounded	nasalized	plain
1209	E	ɛ	vowel	lower_mid	front_unrounded	plain	plain
1210	E:	ɛː	vowel	lower_mid	front_unrounded	plain	long
1211	EE	ɛː	vowel	lower_mid	front_unrounded	plain	long
1212	E/	ɛʔ	vowel	lower_mid	front_unrounded	glottalized	plain
1213	E1	ɛ̘	vowel	lower_mid	front_unrounded	ATR	plain
1214	E8	ɛ̥	vowel	lower_mid	front_unrounded	plain	voiceless
1215	E)	ɛ̃	vowel	lower_mid	front_unrounded	nasalized	plain
1216	E):	ɛ̃ː	vowel	lower_mid	front_unrounded	nasalized	long
1217	E)/	ɛ̃ʔ	vowel	lower_mid	front_unrounded	glottalized_nasalized	plain
1218	j	ɔj	vowel	lower_mid_to_glide	back_rounded_to_palatal	plain	plain
1219	i	ɔi	vowel	lower_mid_to_high	back_rounded_to_front_unrounded	plain	plain
1220	¿u	œu	vowel	lower_mid_to_high	front_rounded_to_back	plain	plain
1221	¿i	œi	vowel	lower_mid_to_high	front_rounded_to_unrounded	plain	plain
1222	i9	ɔi̯	vowel	lower_mid_to_high_glide	back_rounded_to_front_unrounded	plain	plain
1223	Ei9	ɛi̯	vowel	lower_mid_to_high_glide	central_unrounded_to_front	plain	plain
1224	>u	u̞	vowel	lowered_high	back_rounded	plain	plain
1225	u1	u̞	vowel	lowered_high	back_rounded	plain	plain
1226	u4	u̞	vowel	lowered_high	back_rounded	plain	plain
1227	>i	i̞	vowel	lowered_high	front_unrounded	plain	plain
1228	i1	i̞	vowel	lowered_high	front_unrounded	plain	plain
1229	i4	i̞	vowel	lowered_high	front_unrounded	plain	plain
1230	i¢	i̞	vowel	lowered_high	front_unrounded	plain	plain
1231	>Q	æ̞	vowel	lowered_higher_low	front_unrounded	plain	plain
1232	>o	o̞	vowel	lowered_higher_mid	back_rounded	plain	plain
1233	o1	o̞	vowel	lowered_higher_mid	back_rounded	plain	plain
1234	o4	o̞	vowel	lowered_higher_mid	back_rounded	plain	plain
1235	e1	e̞	vowel	lowered_higher_mid	front_unrounded	plain	plain
1236	e4	e̞	vowel	lowered_higher_mid	front_unrounded	plain	plain
1237	>a	a̞	vowel	lowered_low	central_unrounded	plain	plain
1238	a4	a̞	vowel	lowered_low	central_unrounded	plain	plain
1239	>E	ɛ̞	vowel	lowered_lower_mid	front_unrounded	plain	plain
1240	«:	əː	vowel	mid	advanced_central_unrounded	plain	long
1241	«+	ə̟	vowel	mid	advanced_central_unrounded	plain	plain
1242	«	ə	vowel	mid	central_unrounded	plain	plain
1243	««	əː	vowel	mid	central_unrounded	plain	long
1244	«³	əˤ	vowel	mid	central_unrounded	pharyngealized	plain
1245	«Õ	ə˞	vowel	mid	central_unrounded	retroflex	plain
1246	«(	ə̆	vowel	mid	central_unrounded	plain	extra_short
1247	«)	ə̃	vowel	mid	central_unrounded	nasalized	plain
1248	«):	ə̃ː	vowel	mid	central_unrounded	nasalized	long
1249	«9i	ə̯i	vowel	mid_glide_to_high	central_unrounded_to_front	plain	plain
1250	«u	əu	vowel	mid_to_high	central_unrounded_to_back_rounded	plain	plain
1251	«i	əi	vowel	mid_to_high	central_unrounded_to_front	plain	plain
1252	«o	əo	vowel	mid_to_higher_mid	back_rounded_to_central_unrounded	plain	plain
1253	«e	əe	vowel	mid_to_higher_mid	central_unrounded_to_front	plain	plain
1254	u3	u̝	vowel	raised_high	back_rounded	plain	plain
1255	u3:	u̝ː	vowel	raised_high	back_rounded	plain	long
1256	i3	i̝	vowel	raised_high	front_unrounded	plain	plain
1257	i3:	i̝ː	vowel	raised_high	front_unrounded	plain	long
1258	o3	o̝	vowel	raised_higher_mid	back_rounded	plain	plain
1259	o3:	o̝ː	vowel	raised_higher_mid	back_rounded	plain	long
1260	o3)	õ̝	vowel	raised_higher_mid	back_rounded	nasalized	plain
1261	e3	e̝	vowel	raised_higher_mid	front_unrounded	plain	plain
1262	e3:	e̝ː	vowel	raised_higher_mid	front_unrounded	plain	long
1263	e3)	ẽ̝	vowel	raised_higher_mid	front_unrounded	nasalized	plain
1264	a^	a̝	vowel	raised_low	central_unrounded	plain	plain
1265	a3	a̝	vowel	raised_low	central_unrounded	plain	plain
1266	a3:	a̪ː	vowel	raised_low	central_unrounded	plain	long
1267	aa^	a̝ː	vowel	raised_low	central_unrounded	plain	long
1268	3	ɔ̝	vowel	raised_lower_mid	back_rounded	plain	plain
1269	3:	ɔ̝ː	vowel	raised_lower_mid	back_rounded	plain	long
1270	Ã£	ʌ̝	vowel	raised_lower_mid	back_unrounded	plain	plain
1271	«3	ə̝	vowel	raised_mid	central_unrounded	plain	plain
1272	NEW	ʢ	consonant	stop	epiglottal	voiceless	plain
1273	NEW	ɱ	consonant	nasal	labiodental	voiced	plain
1274	NEW		consonant	flap	labiodental	voiced	plain
1275	NEW	ʙ	consonant	trill	bilabial	voiced	plain
1276	NEW	ʜ	consonant	fricative	epiglottal	voiceless	plain
1277	NEW	ʡ	consonant	fricative	epiglottal	voiced	plain
1278	NEW	ʟ	consonant	lateral_approximant	velar	voiced	plain
1279	NEW	ɘ	vowel	higher_mid	central_unrounded	plain	plain
1280	NEW	ʚ	vowel	lower_mid	central_rounded	plain	plain
1281	NEW	ɶ	vowel	low	front_rounded	plain	plain
